,specise,sex,index,frontal_lobe,rear_width,carapace_midline,maximum_width,body_depth,class
94,blue,female,45,16.2,15.2,34.5,40.1,13.9,bluefemale
95,blue,female,46,16.4,14.0,34.2,39.8,15.2,bluefemale
96,blue,female,47,16.7,16.1,36.6,41.9,15.4,bluefemale
97,blue,female,48,17.4,16.9,38.2,44.1,16.6,bluefemale
98,blue,female,49,17.5,16.7,38.6,44.5,17.0,bluefemale
99,blue,female,50,19.2,16.5,40.9,47.9,18.1,bluefemale
100,orange,male,1,9.1,6.9,16.7,18.6,7.4,orangemale
101,orange,male,2,10.2,8.2,20.2,22.2,9.0,orangemale
102,orange,male,3,10.7,8.6,20.7,22.7,9.2,orangemale
103,orange,male,4,11.4,9.0,22.7,24.8,10.1,orangemale
104,orange,male,5,12.5,9.4,23.2,26.0,10.8,orangemale
105,orange,male,6,12.5,9.4,24.2,27.0,11.2,orangemale
106,orange,male,7,12.7,10.4,26.0,28.8,12.1,orangemale
107,orange,male,8,13.2,11.0,27.1,30.4,12.2,orangemale
108,orange,male,9,13.4,10.1,26.6,29.6,12.0,orangemale
109,orange,male,10,13.7,11.0,27.5,30.5,12.2,orangemale
110,orange,male,11,14.0,11.5,29.2,32.2,13.1,orangemale
111,orange,male,12,14.1,10.4,28.9,31.8,13.5,orangemale
112,orange,male,13,14.1,10.5,29.1,31.6,13.1,orangemale
113,orange,male,14,14.1,10.7,28.7,31.9,13.3,orangemale
114,orange,male,15,14.2,10.6,28.7,31.7,12.9,orangemale
115,orange,male,16,14.2,10.7,27.8,30.9,12.7,orangemale
116,orange,male,17,14.2,11.3,29.2,32.2,13.5,orangemale
117,orange,male,18,14.6,11.3,29.9,33.5,12.8,orangemale
118,orange,male,19,14.7,11.1,29.0,32.1,13.1,orangemale
119,orange,male,20,15.1,11.4,30.2,33.3,14.0,orangemale
120,orange,male,21,15.1,11.5,30.9,34.0,13.9,orangemale
121,orange,male,22,15.4,11.1,30.2,33.6,13.5,orangemale
122,orange,male,23,15.7,12.2,31.7,34.2,14.2,orangemale
123,orange,male,24,16.2,11.8,32.3,35.3,14.7,orangemale
124,orange,male,25,16.3,11.6,31.6,34.2,14.5,orangemale
125,orange,male,26,17.1,12.6,35.0,38.9,15.7,orangemale
126,orange,male,27,17.4,12.8,36.1,39.5,16.2,orangemale
127,orange,male,28,17.5,12.0,34.4,37.3,15.3,orangemale
128,orange,male,29,17.5,12.7,34.6,38.4,16.1,orangemale
129,orange,male,30,17.8,12.5,36.0,39.8,16.7,orangemale
130,orange,male,31,17.9,12.9,36.9,40.9,16.5,orangemale
131,orange,male,32,18.0,13.4,36.7,41.3,17.1,orangemale
132,orange,male,33,18.2,13.7,38.8,42.7,17.2,orangemale
133,orange,male,34,18.4,13.4,37.9,42.2,17.7,orangemale
134,orange,male,35,18.6,13.4,37.8,41.9,17.3,orangemale
135,orange,male,36,18.6,13.5,36.9,40.2,17.0,orangemale
136,orange,male,37,18.8,13.4,37.2,41.1,17.5,orangemale
137,orange,male,38,18.8,13.8,39.2,43.3,17.9,orangemale
138,orange,male,39,19.4,14.1,39.1,43.2,17.8,orangemale
139,orange,male,40,19.4,14.4,39.8,44.3,17.9,orangemale
140,orange,male,41,20.1,13.7,40.6,44.5,18.0,orangemale
141,orange,male,42,20.6,14.4,42.8,46.5,19.6,orangemale
142,orange,male,43,21.0,15.0,42.9,47.2,19.4,orangemale
143,orange,male,44,21.5,15.5,45.5,49.7,20.9,orangemale
144,orange,male,45,21.6,15.4,45.7,49.7,20.6,orangemale
145,orange,male,46,21.6,14.8,43.4,48.2,20.1,orangemale
146,orange,male,47,21.9,15.7,45.4,51.0,21.1,orangemale
147,orange,male,48,22.1,15.8,44.6,49.6,20.5,orangemale
148,orange,male,49,23.0,16.8,47.2,52.1,21.5,orangemale
149,orange,male,50,23.1,15.7,47.6,52.8,21.6,orangemale
150,orange,female,1,10.7,9.7,21.4,24.0,9.8,orangefemale
151,orange,female,2,11.4,9.2,21.7,24.1,9.7,orangefemale
152,orange,female,3,12.5,10.0,24.1,27.0,10.9,orangefemale
153,orange,female,4,12.6,11.5,25.0,28.1,11.5,orangefemale
154,orange,female,5,12.9,11.2,25.8,29.1,11.9,orangefemale
155,orange,female,6,14.0,11.9,27.0,31.4,12.6,orangefemale
156,orange,female,7,14.0,12.8,28.8,32.4,12.7,orangefemale
157,orange,female,8,14.3,12.2,28.1,31.8,12.5,orangefemale
158,orange,female,9,14.7,13.2,29.6,33.4,12.9,orangefemale
159,orange,female,10,14.9,13.0,30.0,33.7,13.3,orangefemale
160,orange,female,11,15.0,12.3,30.1,33.3,14.0,orangefemale
161,orange,female,12,15.6,13.5,31.2,35.1,14.1,orangefemale
162,orange,female,13,15.6,14.0,31.6,35.3,13.8,orangefemale
163,orange,female,14,15.6,14.1,31.0,34.5,13.8,orangefemale
164,orange,female,15,15.7,13.6,31.0,34.8,13.8,orangefemale
165,orange,female,16,16.1,13.6,31.6,36.0,14.0,orangefemale
166,orange,female,17,16.1,13.7,31.4,36.1,13.9,orangefemale
167,orange,female,18,16.2,14.0,31.6,35.6,13.7,orangefemale
168,orange,female,19,16.7,14.3,32.3,37.0,14.7,orangefemale
169,orange,female,20,17.1,14.5,33.1,37.2,14.6,orangefemale
170,orange,female,21,17.5,14.3,34.5,39.6,15.6,orangefemale
171,orange,female,22,17.5,14.4,34.5,39.0,16.0,orangefemale
172,orange,female,23,17.5,14.7,33.3,37.6,14.6,orangefemale
173,orange,female,24,17.6,14.0,34.0,38.6,15.5,orangefemale
174,orange,female,25,18.0,14.9,34.7,39.5,15.7,orangefemale
175,orange,female,26,18.0,16.3,37.9,43.0,17.2,orangefemale
176,orange,female,27,18.3,15.7,35.1,40.5,16.1,orangefemale
177,orange,female,28,18.4,15.5,35.6,40.0,15.9,orangefemale
178,orange,female,29,18.4,15.7,36.5,41.6,16.4,orangefemale
179,orange,female,30,18.5,14.6,37.0,42.0,16.6,orangefemale
180,orange,female,31,18.6,14.5,34.7,39.4,15.0,orangefemale
181,orange,female,32,18.8,15.2,35.8,40.5,16.6,orangefemale
182,orange,female,33,18.9,16.7,36.3,41.7,15.3,orangefemale
183,orange,female,34,19.1,16.0,37.8,42.3,16.8,orangefemale
184,orange,female,35,19.1,16.3,37.9,42.6,17.2,orangefemale
185,orange,female,36,19.7,16.7,39.9,43.6,18.2,orangefemale
186,orange,female,37,19.9,16.6,39.4,43.9,17.9,orangefemale
187,orange,female,38,19.9,17.9,40.1,46.4,17.9,orangefemale
188,orange,female,39,20.0,16.7,40.4,45.1,17.7,orangefemale
189,orange,female,40,20.1,17.2,39.8,44.1,18.6,orangefemale
190,orange,female,41,20.3,16.0,39.4,44.1,18.0,orangefemale
191,orange,female,42,20.5,17.5,40.0,45.5,19.2,orangefemale
192,orange,female,43,20.6,17.5,41.5,46.2,19.2,orangefemale
193,orange,female,44,20.9,16.5,39.9,44.7,17.5,orangefemale
194,orange,female,45,21.3,18.4,43.8,48.4,20.0,orangefemale
195,orange,female,46,21.4,18.0,41.2,46.2,18.7,orangefemale
196,orange,female,47,21.7,17.1,41.7,47.2,19.6,orangefemale
197,orange,female,48,21.9,17.2,42.6,47.4,19.5,orangefemale
198,orange,female,49,22.5,17.2,43.0,48.7,19.8,orangefemale
199,orange,female,50,23.1,20.2,46.2,52.5,21.1,orangefemale
